length_class,value,country,area,order
3,0,UK(Scotland),27.4.a,4
4,0,UK(Scotland),27.4.a,4
5,0,UK(Scotland),27.4.a,4
6,0,UK(Scotland),27.4.a,4
7,0,UK(Scotland),27.4.a,4
8,0,UK(Scotland),27.4.a,4
9,0,UK(Scotland),27.4.a,4
10,0,UK(Scotland),27.4.a,4
11,0,UK(Scotland),27.4.a,4
12,0,UK(Scotland),27.4.a,4
13,0,UK(Scotland),27.4.a,4
14,0,UK(Scotland),27.4.a,4
15,0,UK(Scotland),27.4.a,4
16,0,UK(Scotland),27.4.a,4
17,0,UK(Scotland),27.4.a,4
18,0,UK(Scotland),27.4.a,4
19,0,UK(Scotland),27.4.a,4
20,0,UK(Scotland),27.4.a,4
21,0,UK(Scotland),27.4.a,4
22,0,UK(Scotland),27.4.a,4
23,0,UK(Scotland),27.4.a,4
24,42,UK(Scotland),27.4.a,4
25,957,UK(Scotland),27.4.a,4
26,2656,UK(Scotland),27.4.a,4
27,4585,UK(Scotland),27.4.a,4
28,5068,UK(Scotland),27.4.a,4
29,10570,UK(Scotland),27.4.a,4
30,22434,UK(Scotland),27.4.a,4
31,29018,UK(Scotland),27.4.a,4
32,26256,UK(Scotland),27.4.a,4
33,42015,UK(Scotland),27.4.a,4
34,33900,UK(Scotland),27.4.a,4
35,20909,UK(Scotland),27.4.a,4
36,10384,UK(Scotland),27.4.a,4
37,12036,UK(Scotland),27.4.a,4
38,7354,UK(Scotland),27.4.a,4
39,4934,UK(Scotland),27.4.a,4
40,2480,UK(Scotland),27.4.a,4
41,1529,UK(Scotland),27.4.a,4
42,749,UK(Scotland),27.4.a,4
43,0,UK(Scotland),27.4.a,4
44,0,UK(Scotland),27.4.a,4
45,0,UK(Scotland),27.4.a,4
46,0,UK(Scotland),27.4.a,4
47,0,UK(Scotland),27.4.a,4
48,0,UK(Scotland),27.4.a,4
49,0,UK(Scotland),27.4.a,4
50,0,UK(Scotland),27.4.a,4
51,0,UK(Scotland),27.4.a,4
52,0,UK(Scotland),27.4.a,4
53,0,UK(Scotland),27.4.a,4
54,0,UK(Scotland),27.4.a,4
55,0,UK(Scotland),27.4.a,4
56,0,UK(Scotland),27.4.a,4
57,0,UK(Scotland),27.4.a,4
58,0,UK(Scotland),27.4.a,4
59,0,UK(Scotland),27.4.a,4
60,0,UK(Scotland),27.4.a,4
1,0,NL,27.7.d,5
2,0,NL,27.7.d,5
3,0,NL,27.7.d,5
4,0,NL,27.7.d,5
5,0,NL,27.7.d,5
6,0,NL,27.7.d,5
7,0,NL,27.7.d,5
8,0,NL,27.7.d,5
9,0,NL,27.7.d,5
10,0,NL,27.7.d,5
11,0,NL,27.7.d,5
12,0,NL,27.7.d,5
13,0,NL,27.7.d,5
14,0,NL,27.7.d,5
15,0,NL,27.7.d,5
16,0,NL,27.7.d,5
17,8996.482144,NL,27.7.d,5
18,17240.47043,NL,27.7.d,5
19,12742.22936,NL,27.7.d,5
20,29982.69979,NL,27.7.d,5
21,65951.90628,NL,27.7.d,5
22,23979.47099,NL,27.7.d,5
23,17240.47043,NL,27.7.d,5
24,14982.98885,NL,27.7.d,5
25,7491.494425,NL,27.7.d,5
26,3745.747213,NL,27.7.d,5
27,3745.747213,NL,27.7.d,5
28,0,NL,27.7.d,5
29,0,NL,27.7.d,5
30,0,NL,27.7.d,5
31,0,NL,27.7.d,5
32,0,NL,27.7.d,5
33,0,NL,27.7.d,5
34,0,NL,27.7.d,5
35,0,NL,27.7.d,5
36,0,NL,27.7.d,5
37,0,NL,27.7.d,5
38,0,NL,27.7.d,5
39,0,NL,27.7.d,5
40,0,NL,27.7.d,5
41,0,NL,27.7.d,5
42,0,NL,27.7.d,5
43,0,NL,27.7.d,5
44,0,NL,27.7.d,5
45,0,NL,27.7.d,5
46,0,NL,27.7.d,5
47,0,NL,27.7.d,5
48,0,NL,27.7.d,5
49,0,NL,27.7.d,5
50,0,NL,27.7.d,5
51,0,NL,27.7.d,5
52,0,NL,27.7.d,5
53,0,NL,27.7.d,5
54,0,NL,27.7.d,5
55,0,NL,27.7.d,5
56,0,NL,27.7.d,5
57,0,NL,27.7.d,5
58,0,NL,27.7.d,5
59,0,NL,27.7.d,5
60,0,NL,27.7.d,5
1,0,NL,27.7.d,6
2,0,NL,27.7.d,6
3,0,NL,27.7.d,6
4,0,NL,27.7.d,6
5,0,NL,27.7.d,6
6,0,NL,27.7.d,6
7,0,NL,27.7.d,6
8,0,NL,27.7.d,6
9,0,NL,27.7.d,6
10,0,NL,27.7.d,6
11,0,NL,27.7.d,6
12,0,NL,27.7.d,6
13,0,NL,27.7.d,6
14,0,NL,27.7.d,6
15,0,NL,27.7.d,6
16,0,NL,27.7.d,6
17,535587.5611,NL,27.7.d,6
18,2835756.877,NL,27.7.d,6
19,3888022.99,NL,27.7.d,6
20,4650004.913,NL,27.7.d,6
21,8861480.981,NL,27.7.d,6
22,4927456.281,NL,27.7.d,6
23,5053025.403,NL,27.7.d,6
24,5394624.554,NL,27.7.d,6
25,4554591.064,NL,27.7.d,6
26,3188489.158,NL,27.7.d,6
27,1641311.918,NL,27.7.d,6
28,733542.3287,NL,27.7.d,6
29,146099.3409,NL,27.7.d,6
30,0,NL,27.7.d,6
31,0,NL,27.7.d,6
32,0,NL,27.7.d,6
33,0,NL,27.7.d,6
34,0,NL,27.7.d,6
35,0,NL,27.7.d,6
36,0,NL,27.7.d,6
37,0,NL,27.7.d,6
38,0,NL,27.7.d,6
39,0,NL,27.7.d,6
40,0,NL,27.7.d,6
41,0,NL,27.7.d,6
42,0,NL,27.7.d,6
43,0,NL,27.7.d,6
44,0,NL,27.7.d,6
45,0,NL,27.7.d,6
46,0,NL,27.7.d,6
47,0,NL,27.7.d,6
48,0,NL,27.7.d,6
49,0,NL,27.7.d,6
50,0,NL,27.7.d,6
51,0,NL,27.7.d,6
52,0,NL,27.7.d,6
53,0,NL,27.7.d,6
54,0,NL,27.7.d,6
55,0,NL,27.7.d,6
56,0,NL,27.7.d,6
57,0,NL,27.7.d,6
58,0,NL,27.7.d,6
59,0,NL,27.7.d,6
60,0,NL,27.7.d,6
