DIVISION;QUARTER;YEAR;COUNTRY;AGEMEASUREMENTS;TOTALMEASUREMENTS;NOSAMPLES
6a;1;2017;eng;25;99;1
6a;1;2017;ned;350;2126;14
6a;1;2018;eng;25;225;1
6a;1;2018;ned;350;2361;14
6a;1;2019;gbr;25;192;1
6a;1;2019;ned;850;6166;34
6a;2;2001;ned;25;25;1
6a;2;2007;ned;150;487;6
6a;2;2014;ned;50;164;2
6a;2;2016;ned;25;101;1
6a;2;2017;ned;50;154;2
6a;2;2018;ned;25;199;1
6a;3;2000;ned;25;25;1
6a;3;2001;ned;25;25;1
6a;3;2009;ned;50;299;2
6a;3;2011;ned;25;129;1
6a;3;2013;eng;50;300;2
6a;3;2016;eng;25;115;1
6a;3;2018;eng;25;121;1
6a;3;2019;ned;25;131;1
6a;4;2005;ned;50;215;2
6a;4;2010;ned;25;121;1
6a;4;2014;ned;300;2221;12
6a;4;2016;ned;75;303;3
6a;4;2017;ned;50;433;2
6a;4;2019;eng;50;197;2
7b;1;2001;ned;25;25;1
7b;1;2002;eng;50;220;4
7b;1;2002;ned;50;232;4
7b;1;2003;ned;25;25;1
7b;1;2004;ned;0;75;3
7b;1;2005;ned;125;681;5
7b;1;2006;ned;100;407;4
7b;1;2007;ned;75;425;3
7b;1;2010;gfr;75;480;3
7b;1;2011;eng;25;127;1
7b;1;2011;ned;325;1819;13
7b;1;2012;ned;25;92;1
7b;1;2013;gbr;125;1231;5
7b;1;2013;ned;25;199;1
7b;1;2014;ned;300;2079;12
7b;1;2015;ned;125;558;5
7b;1;2016;ned;150;626;6
7b;1;2017;ned;125;780;5
7b;1;2018;ned;100;502;4
7b;1;2019;ned;150;1121;6
7b;2;2004;eng;0;25;1
7b;2;2007;ned;25;151;1
7b;3;2001;ned;25;25;1
7b;3;2003;ned;25;25;1
7b;3;2005;ned;25;105;1
7b;3;2006;ned;125;597;5
7b;3;2011;ned;50;198;2
7b;3;2017;ned;75;441;3
7b;3;2019;eng;75;386;3
7b;4;2008;ned;425;2508;17
7b;4;2010;ned;75;421;3
7b;4;2014;ned;25;185;1
7c;1;2000;ned;50;50;2
7c;1;2001;ned;50;50;2
7c;1;2009;gbr;25;165;1
7c;1;2009;ned;125;933;5
7c;1;2010;ned;75;480;3
7c;1;2011;ned;75;545;3
7c;1;2012;ned;75;395;3
7c;1;2013;ned;25;121;1
7c;1;2014;ned;75;295;3
7c;1;2016;ned;25;103;1
7c;1;2017;ned;50;205;2
7c;2;2011;ned;25;127;1
7c;2;2012;eng;25;109;1
7c;2;2012;ned;25;119;1
7c;2;2013;ned;25;173;1
7c;3;2011;ned;50;224;2
7c;3;2019;eng;25;89;1
7c;4;2008;ned;100;517;4
7c;4;2010;ned;150;859;6
7d;1;2000;ned;75;75;3
7d;1;2001;ned;300;300;12
7d;1;2002;eng;100;459;8
7d;1;2002;ned;75;364;6
7d;1;2003;ned;175;175;7
7d;1;2004;eng;0;325;13
7d;1;2004;ned;0;125;5
7d;1;2005;ned;225;1103;9
7d;1;2006;eng;150;878;6
7d;1;2006;ned;100;554;4
7d;1;2007;eng;125;806;5
7d;1;2007;ned;200;1375;8
7d;1;2008;eng;50;310;2
7d;1;2008;ned;400;2751;16
7d;1;2009;eng;175;1096;7
7d;1;2009;ned;375;2210;15
7d;1;2010;eng;100;636;4
7d;1;2010;gfr;50;364;2
7d;1;2010;ned;325;1882;13
7d;1;2012;ned;25;179;1
7d;1;2013;eng;200;1449;8
7d;1;2013;ned;175;1049;7
7d;1;2014;eng;175;1319;7
7d;1;2014;ned;25;165;1
7d;1;2015;eng;200;1354;8
7d;1;2016;eng;225;1680;9
7d;1;2016;ned;25;178;1
7d;1;2017;eng;100;646;4
7d;1;2017;ned;50;349;2
7d;1;2018;eng;325;2299;13
7d;1;2019;eng;225;1644;9
7d;1;2019;ned;25;348;1
7d;2;2000;ned;100;100;4
7d;2;2001;eng;150;150;6
7d;2;2002;eng;25;285;2
7d;2;2003;ned;75;75;3
7d;2;2004;ned;50;499;2
7d;3;2001;ned;25;25;1
7d;3;2002;ned;25;25;1
7d;3;2004;ned;100;996;4
7d;3;2005;ned;75;690;3
7d;3;2006;ned;25;193;1
7d;3;2007;eng;25;205;1
7d;3;2007;ned;225;1916;9
7d;3;2008;ned;25;183;1
7d;3;2009;ned;25;165;1
7d;3;2011;eng;49;451;2
7d;3;2011;ned;75;632;3
7d;3;2012;eng;25;192;1
7d;3;2012;ned;125;868;5
7d;3;2013;ned;25;222;1
7d;3;2014;eng;25;253;1
7d;3;2016;eng;25;213;1
7d;3;2017;eng;25;340;1
7d;3;2017;ned;0;330;1
7d;3;2018;ned;50;543;2
7d;4;2000;ned;300;300;12
7d;4;2001;eng;175;175;7
7d;4;2001;ned;100;100;4
7d;4;2002;eng;75;715;6
7d;4;2002;ned;175;2192;15
7d;4;2003;eng;25;25;1
7d;4;2003;ned;75;75;3
7d;4;2004;ned;350;2265;14
7d;4;2005;eng;150;1190;6
7d;4;2005;ned;275;2235;11
7d;4;2006;ned;150;1054;6
7d;4;2007;ned;150;1096;6
7d;4;2008;eng;25;200;1
7d;4;2008;ned;175;1228;7
7d;4;2009;ned;275;2092;11
7d;4;2010;ned;25;151;1
7d;4;2011;ned;100;861;4
7d;4;2012;eng;25;215;1
7d;4;2012;ned;300;2601;12
7d;4;2013;eng;100;817;4
7d;4;2013;ned;125;1192;5
7d;4;2014;eng;100;660;4
7d;4;2014;ned;25;195;1
7d;4;2015;eng;350;2261;8
7d;4;2015;ned;450;2315;9
7d;4;2016;eng;575;5741;23
7d;4;2016;ned;325;3227;13
7d;4;2017;eng;125;1157;5
7d;4;2017;ned;600;5777;24
7d;4;2018;eng;100;743;4
7d;4;2018;ned;225;2130;9
7e;1;2000;ned;25;25;1
7e;1;2001;ned;75;75;3
7e;1;2002;eng;25;123;2
7e;1;2002;ned;100;666;8
7e;1;2004;eng;0;50;2
7e;1;2004;ned;0;75;3
7e;1;2008;ned;50;279;2
7e;1;2009;eng;150;890;6
7e;1;2009;ned;75;588;3
7e;1;2010;eng;50;322;2
7e;1;2011;eng;125;639;5
7e;1;2012;eng;75;719;3
7e;1;2012;ned;125;1341;5
7e;1;2013;eng;200;1559;8
7e;1;2013;ned;175;1255;7
7e;1;2014;eng;225;1589;9
7e;1;2014;ned;100;816;4
7e;1;2015;ned;125;1202;5
7e;1;2016;eng;25;177;1
7e;1;2017;ned;25;386;1
7e;1;2018;eng;75;636;3
7e;1;2018;ned;50;386;2
7e;1;2019;eng;75;739;3
7e;1;2019;ned;25;277;1
7e;2;2002;ned;25;25;1
7e;2;2003;ned;25;25;1
7e;2;2010;eng;50;603;2
7e;2;2014;ned;50;434;2
7e;3;2001;ned;25;25;1
7e;3;2002;eng;75;1220;5
7e;3;2002;ned;0;159;1
7e;3;2003;eng;50;50;2
7e;3;2004;eng;50;502;2
7e;3;2004;ned;25;260;1
7e;3;2005;ned;175;1683;7
7e;3;2006;eng;125;1010;5
7e;3;2006;ned;350;2917;14
7e;3;2007;eng;25;194;1
7e;3;2007;ned;325;2816;13
7e;3;2008;eng;50;383;2
7e;3;2008;ned;200;1614;8
7e;3;2009;eng;50;470;2
7e;3;2009;ned;50;404;2
7e;3;2010;ned;75;810;3
7e;3;2011;eng;50;587;2
7e;3;2011;ned;75;604;3
7e;3;2012;eng;75;602;3
7e;3;2012;ned;25;193;1
7e;3;2013;ned;275;2881;11
7e;3;2014;ned;25;373;1
7e;4;2001;ned;250;250;10
7e;4;2002;eng;125;700;10
7e;4;2002;ned;25;620;2
7e;4;2003;eng;100;100;4
7e;4;2003;ned;125;125;5
7e;4;2004;ned;225;1566;9
7e;4;2005;eng;175;1262;7
7e;4;2005;ned;125;1169;5
7e;4;2006;eng;25;190;1
7e;4;2006;ned;50;384;2
7e;4;2007;ned;25;214;1
7e;4;2008;eng;50;389;2
7e;4;2008;ned;75;581;3
7e;4;2009;ned;75;714;3
7e;4;2010;eng;200;1753;8
7e;4;2010;ned;175;1701;7
7e;4;2011;ned;25;259;1
7e;4;2012;eng;250;2152;10
7e;4;2012;gfr;250;2624;10
7e;4;2012;ned;200;1507;8
7e;4;2013;eng;50;426;2
7e;4;2013;ned;100;934;4
7e;4;2016;eng;25;230;1
7e;4;2016;ned;25;206;1
7e;4;2017;ned;50;469;2
7f;4;2018;eng;25;133;1
7f;4;2018;ned;25;299;1
7h;1;2000;ned;25;25;1
7h;1;2001;ned;50;50;2
7h;1;2002;ned;50;345;4
7h;1;2003;ned;25;25;1
7h;1;2005;ned;25;112;1
7h;1;2006;ned;100;523;4
7h;1;2007;ned;50;281;2
7h;1;2008;ned;25;193;1
7h;1;2009;ned;25;189;1
7h;1;2010;ned;75;486;3
7h;1;2011;ned;125;937;5
7h;1;2012;ned;50;493;2
7h;1;2013;ned;150;1069;6
7h;1;2014;ned;100;686;4
7h;1;2015;ned;25;189;1
7h;1;2017;eng;75;754;3
7h;1;2017;ned;250;2460;10
7h;1;2018;eng;200;1751;8
7h;1;2018;ned;425;3985;17
7h;1;2019;eng;25;250;1
7h;1;2019;ned;25;278;1
7h;2;2011;ned;49;393;2
7h;3;2010;ned;25;283;1
7h;4;2001;ned;50;50;2
7h;4;2002;ned;525;2901;42
7h;4;2003;ned;50;50;2
7h;4;2004;ned;100;1007;4
7h;4;2005;ned;150;727;6
7h;4;2006;ned;50;278;2
7h;4;2010;ned;75;495;3
7h;4;2011;ned;25;214;1
7h;4;2012;gfr;25;225;1
7h;4;2013;eng;25;148;1
7h;4;2013;ned;50;412;2
7h;4;2017;ned;25;244;1
7j;1;2000;ned;225;225;9
7j;1;2001;eng;75;75;3
7j;1;2001;ned;175;175;7
7j;1;2002;eng;75;347;6
7j;1;2002;ned;50;322;4
7j;1;2003;ned;50;50;2
7j;1;2004;ned;0;75;3
7j;1;2005;ned;300;2208;12
7j;1;2006;ned;325;2066;13
7j;1;2007;eng;50;348;2
7j;1;2007;ned;125;882;5
7j;1;2008;ned;75;471;3
7j;1;2009;ned;75;434;3
7j;1;2010;gfr;50;298;2
7j;1;2010;ned;275;1580;11
7j;1;2011;eng;75;313;3
7j;1;2011;ned;125;750;5
7j;1;2012;eng;75;295;3
7j;1;2012;fra;75;511;3
7j;1;2012;ned;200;1119;8
7j;1;2013;ned;25;125;1
7j;1;2014;ned;125;622;5
7j;1;2015;ned;350;2151;14
7j;1;2016;eng;100;470;4
7j;1;2016;ned;25;105;1
7j;1;2018;eng;125;564;5
7j;1;2018;ned;125;530;5
7j;1;2019;ned;25;93;1
7j;2;2000;ned;200;200;8
7j;2;2001;ned;100;100;4
7j;2;2002;ned;100;471;8
7j;2;2003;ned;100;100;4
7j;2;2004;eng;0;25;1
7j;2;2004;ned;0;75;3
7j;2;2005;eng;25;263;1
7j;2;2005;ned;75;441;3
7j;2;2006;ned;25;124;1
7j;2;2007;eng;75;534;3
7j;2;2007;ned;25;155;1
7j;2;2008;ned;300;1795;12
7j;2;2009;eng;175;1011;7
7j;2;2009;gfr;525;3723;21
7j;2;2009;ned;50;295;2
7j;2;2010;eng;75;419;3
7j;2;2010;fra;75;460;3
7j;2;2010;ned;375;2436;15
7j;2;2011;eng;175;896;7
7j;2;2011;ned;475;2536;19
7j;2;2012;eng;175;840;7
7j;2;2012;ned;100;446;4
7j;2;2013;ned;175;1065;7
7j;2;2014;eng;100;469;4
7j;2;2014;ned;225;983;9
7j;2;2015;ned;100;512;4
7j;2;2016;eng;50;225;2
7j;2;2018;eng;25;149;1
7j;2;2018;ned;125;718;5
7j;2;2019;ned;200;1407;8
7j;3;2002;ned;25;173;2
7j;3;2003;ned;100;100;4
7j;3;2004;ned;75;551;3
7j;3;2006;ned;25;123;1
7j;3;2008;ned;25;157;1
7j;3;2009;ned;50;299;2
7j;3;2011;ned;200;1152;8
7j;3;2019;eng;200;1029;8
7j;3;2019;ned;225;1377;9
7j;4;2009;ned;25;189;1
7j;4;2017;ned;25;92;1
7k;1;2008;ned;25;139;1
7k;1;2012;ned;25;124;1
7k;1;2013;ned;50;226;2
7k;2;2010;ned;25;154;1
7k;2;2011;ned;25;121;1
8a;1;2000;ned;75;75;3
8a;1;2002;eng;25;191;2
8a;1;2003;ned;325;325;13
8a;1;2004;ned;0;25;1
8a;1;2005;ned;150;1367;6
8a;1;2006;ned;100;657;4
8a;1;2008;eng;50;440;2
8a;1;2013;ned;50;329;2
8a;1;2014;ned;100;463;4
8a;1;2015;ned;50;328;2
8a;1;2017;ned;25;259;1
8a;1;2019;eng;50;171;2
8a;2;2000;ned;125;125;5
8a;2;2001;eng;50;50;2
8a;2;2001;ned;400;400;16
8a;2;2002;eng;100;861;8
8a;2;2002;ned;150;1363;11
8a;2;2003;eng;150;150;6
8a;2;2003;ned;100;100;4
8a;2;2004;eng;25;112;2
8a;2;2004;ned;0;50;2
8a;2;2005;eng;25;151;1
8a;2;2005;ned;150;2042;6
8a;2;2006;eng;100;560;4
8a;2;2006;ned;50;490;2
8a;2;2008;ned;300;2746;12
8a;2;2009;eng;25;141;1
8a;2;2009;ned;25;268;1
8a;2;2011;ned;25;449;1
8a;2;2015;eng;25;145;1
8a;2;2016;eng;25;145;1
8a;3;2001;ned;25;25;1
8a;3;2002;ned;50;820;5
8a;3;2009;ned;25;144;1
8a;4;2001;ned;200;200;8
8a;4;2005;ned;75;418;3
8a;4;2006;ned;50;324;2
8b;1;2013;ned;25;169;1
8b;1;2015;eng;25;246;1
8b;1;2015;ned;25;220;1
8b;2;2002;ned;50;580;4
8b;2;2004;eng;50;291;2
8b;2;2006;eng;50;298;2
8b;2;2008;ned;25;205;1
8b;2;2015;eng;25;303;1
8d;1;2000;ned;100;100;4
8d;1;2001;ned;75;75;3
8d;1;2002;ned;25;159;2
8d;1;2003;ned;100;100;4
8d;1;2009;eng;25;174;1
8d;1;2014;ned;25;169;1
8d;2;2000;ned;25;25;1
8d;2;2001;ned;50;50;2
8d;2;2002;ned;100;416;6
8d;2;2003;eng;25;25;1
8d;2;2003;ned;25;25;1
8d;2;2004;eng;25;167;1
8d;2;2004;ned;0;25;1
8d;2;2005;eng;25;154;1
8d;2;2006;eng;75;570;3
8d;2;2008;ned;99;915;4
8d;3;2002;ned;50;603;6
8d;3;2003;ned;25;25;1
NA;1;2002;ned;0;136;1
NA;1;2004;ned;0;25;1
NA;1;2005;ned;75;357;3
NA;1;2016;eng;25;133;1
NA;2;2003;ned;25;25;1
NA;2;2005;eng;25;238;1
NA;3;2000;ned;50;50;2
NA;3;2001;ned;75;75;3
NA;3;2008;ned;25;79;1
NA;4;2000;ned;50;50;2
NA;4;2001;eng;25;25;1
NA;4;2001;ned;150;150;6
NA;4;2007;ned;25;228;1
NA;4;2018;eng;25;116;1
NA;4;2018;ned;25;197;1
