Year,0,1,2,3,4,5,6,7,8
1999,358548.3256,56097.36322,46316.51408,55869.28117,23946.02551,23249.62373,3910.432084,3427.621599,1261.679923
2000,181224.6955,508857.8153,38295.15869,26873.49637,20668.30874,9104.896213,8943.304795,2159.706119,1155.788161
2001,15547.01189,108787.0962,385713.9335,22513.47139,11682.49177,8767.826433,4357.714184,5156.732167,1733.521794
2002,10726.31153,16801.89676,110640.787,277565.7104,13729.87992,7118.995515,4676.513977,2662.792962,3124.826145
2003,11385.16024,14039.18202,15793.21789,82707.92545,163352.2535,6984.906118,3363.805477,3232.365942,2585.163463
2004,17821.95092,18599.64146,19216.21188,16773.10849,56110.31448,93415.35436,3518.059151,2332.011879,1959.324226
2005,102006.5089,20673.34003,16984.39463,16940.79833,11773.02196,33804.48015,56020.29135,2911.226035,1584.671654
2006,24261.74019,75843.57549,17063.39737,13074.67507,10032.8447,6275.649411,18172.29503,32883.06479,2386.644853
2007,17766.90603,27012.35643,73341.86011,13791.95338,8329.544277,5433.660788,3794.956745,12417.23678,13047.70199
2008,11636.81223,17894.49337,20962.93038,71195.11621,8843.283309,4801.275241,3608.18886,2606.269847,9407.363933
2009,82878.08234,16269.39616,18606.21439,17466.67336,43943.74668,4631.126675,2768.918601,2045.02203,3949.068864
2010,6467.263724,59407.61325,16413.32478,17788.43199,14562.1976,32480.83856,2854.06184,1983.400386,3370.336093
2011,5257.256923,10097.89061,79280.93223,16943.65528,13603.70212,9979.957583,23135.82246,1616.546262,1961.306708
2012,8487.402279,6788.913131,14684.73459,86399.95593,11996.42737,10227.50271,7137.93216,16676.29568,1836.117066
2013,9179.538045,14016.85854,8640.414957,14214.47929,64231.05754,7798.97954,6822.811829,4680.183476,8089.485787
2014,69179.02818,12410.83105,17494.77147,7532.203924,10750.09035,42529.7722,4258.781979,3886.020922,5183.232377
2015,15534.30561,81623.083,17985.68181,13722.14569,4928.089791,6469.719338,27976.28727,2195.889179,3072.978975
2016,26756.15099,27112.31971,93615.99257,14868.69407,8250.848236,2454.985402,3973.902433,18731.54138,1546.326781
2017,10501.57556,30907.38295,28687.21035,69151.16281,8536.932457,4628.905997,1625.989708,2412.454683,6779.777292
2018,33140.82693,13440.65126,35079.48073,23779.20186,43749.15239,4627.449085,2256.251637,751.2929494,2634.196517
2019,125363.2964,46417.05109,14830.891,27728.3734,13753.38188,25371.91584,1955.624324,1074.187515,1528.352712
2020,123742.5875,140199.204,52445.90984,15514.35587,19638.38015,9003.539177,15144.37207,1604.595268,1620.814611
2021,44426.87598,191559.6688,188398.4846,35871.12325,9413.389214,11404.0157,3996.263524,11241.04313,525.2515659
2022,28958.742,58207.26,210433.465,187174.384,28992.815,6260.944,7994.368,3197.88,12087.589
2023,28958.742,30332.892,69391.781,209381.67,155843.676,23179.576,4573.18,6296.4,10135.784
2024,28958.742,32876.973,36788.905,64091.241,155826.262,106355.844,15393.392,3097.455,9450.337
