Year,0,1,2,3,4,5,6,7,8
1997,3954799.45454246,2343109.22163665,490975.304552231,504394.330285652,48456.6385328252,32234.8092527972,7224.48518362027,3014.71111174236,594.576656948121
1998,3173464.36991168,1101034.66338495,599326.387860726,183035.696825144,170960.53374347,17267.6454564565,11906.1125193781,3328.33036086553,1545.81483199737
1999,36536705.8715469,853918.842633736,293800.84662357,200922.998336849,60225.1027645349,53856.9610488909,6325.26256654156,5288.16301817558,2224.82273036191
2000,8734831.42267592,10636081.4211397,237604.381645767,96607.2365721082,51255.7191522389,17432.349835992,16085.7726718356,2559.55873605056,1718.11053099175
2001,1305539.99452199,2453452.20663614,2763382.56912595,91421.7369914956,29922.3294295482,15448.038411664,6937.31989122281,6626.51709855235,1763.26188716302
2002,1571855.12158843,387432.069689455,681271.688386307,1146013.56682947,31267.5437808524,11883.869324069,6684.34527902554,3955.33465418538,3376.37963130136
2003,1159465.46620352,437528.392990046,112543.789485805,325047.806037355,488493.284874397,11889.1115241869,5253.40420491259,3558.65416731876,2665.31006032596
2004,1134739.88538302,338924.327295503,128539.683006556,57001.0956491723,171076.885580416,249841.253334245,6005.36059644399,3097.03641053621,2082.57499592363
2005,4584478.10069944,323823.709578529,99179.5054835106,59846.530017243,28384.4408019438,82787.8188316923,126986.935173322,3773.9616211475,2022.91170980848
2006,1444492.60139961,1477739.17372883,95389.7813849913,47621.1333325092,27139.6167577488,14561.5505852098,39847.8185107906,72567.2993928686,2945.76190686507
2007,1053589.73617035,426541.200758671,505516.2130645,43428.2155684805,20828.0751287108,11780.974633711,6833.07815190344,21467.1091985296,27879.4607253102
2008,840807.52712274,316244.860674844,130268.850977728,253554.988156892,18293.6024420856,8716.6775811215,5657.54033104019,3806.28635600972,17764.1163487489
2009,4203720.25065077,257133.82034136,95579.6604878915,67595.2879672779,137712.176095519,8500.45905532272,4375.04546114431,3485.19605882107,6288.23881448375
2010,507467.729433587,1448054.16808472,85510.1820576312,54860.5217934072,37912.3160883935,81561.6633431477,4702.53294224205,2718.82337008762,3816.57206840872
2011,344848.63285337,164093.617067444,479120.97148347,49272.2816850614,30348.9665468269,21760.2498727244,50908.3117689841,2741.83212156581,2552.31604159342
2012,631112.378679035,109292.23913682,52868.7200444844,277236.230377019,25256.6236456094,17288.427555058,12358.4267410187,31737.0432189985,2304.08854842547
2013,695931.377478117,210514.554917813,32885.5116092611,31064.5634711312,160258.017108317,12545.9486914049,9571.28938017874,7172.57354731624,17282.9925185408
2014,4349363.75990022,230666.783458829,65586.4766698324,16759.8126574561,19948.6623613015,94134.8182043738,6480.14166520343,5755.6374749314,9921.01127354429
2015,1267983.26080668,1467455.80971514,70456.2301821562,32110.8264753769,7727.20617455038,10927.3806398387,52960.9092012487,3920.16358752518,6257.03336869644
2016,1487641.09806665,440497.430395603,419463.751304536,31010.7687959868,12865.381748695,3219.54921208112,4619.89889213403,31283.1310624108,2483.27000185649
2017,693858.119280553,542021.206013553,136974.955870847,202227.732773898,13361.1094502631,5588.6821686512,1415.88451125671,2852.55777161605,11524.6124686692
2018,2091658.27844606,250539.694795999,159297.56769305,62646.8451323178,99704.6388400478,5320.44549393821,2577.08053424524,780.971866616189,4094.48675382434
2019,7099037.73596545,811898.771364915,76861.2883960644,78137.4957419591,26273.1819732348,51663.8664137754,2293.24721721496,1297.47619678633,1132.1315501965
2020,7937453.48974147,2969951.33584699,232627.924152295,40594.6388620132,40428.220802376,12333.4666666704,29551.2914448754,1172.69876716767,1004.6919421304
2021,2710757.65619278,3457191.2542008,1051031.40013783,109321.58184027,22793.0114187107,22952.1601109553,6219.49678036602,20293.0240702571,711.642565357928
2022,4545486.62396708,1130169.82735629,1245147.01510884,680574.673051621,61679.3891420074,15496.5853180361,13487.5741417988,3812.91558861602,10235.6790055274
2023,4545486.62396708,1941743.97323986,408123.242940389,789385.509098662,441409.009315672,41664.8432753883,10897.9402886156,9448.55684873677,7561.52878930097
