"Year","Low_Recruitment","Recruitment","High_Recruitment","Low_TBiomass","TBiomass","High_TBiomass","Low_StockSize","StockSize","High_StockSize","Catches","Landings","LandingsBMS","Discards","LogbookRegisteredDiscards","IBC","Unallocated_Removals","Low_FishingPressure","FishingPressure","High_FishingPressure","FishingPressure_Landings","FishingPressure_Discards","FishingPressure_IBC","FishingPressure_Unallocated","CustomSeries1","CustomSeries2","CustomSeries3","CustomSeries4","CustomSeries5","CustomSeries6","CustomSeries7","CustomSeries8","CustomSeries9","CustomSeries10","CustomSeries11","CustomSeries12","CustomSeries13","CustomSeries14","CustomSeries15","CustomSeries16","CustomSeries17","CustomSeries18","CustomSeries19","CustomSeries20"
1992,NA,NA,NA,NA,NA,NA,0.591575570496989,1.37165987067656,2.74000066693279,15043,14643,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03687619807983,4.26599498741637,9.35651895409868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,0.273434500120978,0.555497829034029,1.00694538268123,13617,12687,NA,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894806118755757,1.85267707839246,3.7624108781595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,0.54817600202717,1.16718518302562,2.19030231346712,5629,4999,NA,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25702745910471,2.58788949517757,5.06176189453984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,0.523530671417611,1.34748140058983,2.65482645691925,16756,16726,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05972510466439,2.01474594635618,4.00983752245941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,0.464091247390698,1.05426996974833,1.99090080560997,18843,18631,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305339109071413,0.729607562735486,1.54957505181155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,0.279002287159312,0.625076515725625,1.17372663579614,19540,19530,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.927786784594767,2.1741115462847,4.83963815509473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,0.190575397014396,0.40568629510841,0.733166217802042,30500,30417,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.315178265512057,0.649907125609769,1.25203801513684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,0.20800000445347,0.445615236311427,0.834566738428389,37224,37224,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773030506016607,1.43684562435915,2.63976090867288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,0.218375430028596,0.423698298803493,0.779223574221984,45129.577,45125.877,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772181499427383,1.56602179057998,3.04053623504038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,0.245584944760925,0.515659197621798,0.914421469960277,28330.758,28330.758,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1832948483692,2.1919807161626,4.79651452856968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,0.210265872001209,0.426553248854453,0.847324101794428,27264.458,27264.458,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16876855981346,2.39933139831376,4.76006896798385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,0.136860915587181,0.289098430401585,0.590180565144166,32028.485,32028.485,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.941838195417734,1.78746247159991,3.280214158894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,0.158051024243465,0.350131932561239,0.652610799622955,35435.03611,35435.03611,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508420587635536,1.0009165403945,1.81690368659737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,0.318323119904587,0.65690874051861,1.24372282335189,30848.49982,30786.447,NA,62.05282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407890635237343,0.801998020266143,1.4914634904725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,0.329207606448083,0.693676885270744,1.32167792102315,34240.05171,34162.05171,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282670308687868,0.529577891308586,0.962650680218476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,0.146552663828307,0.341824923401416,0.73307066337817,41103.39771,40964.39771,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31605080476455,0.599392285530312,1.07742077309383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,0.0784004854888556,0.163534955217197,0.360531814558557,35703.591,35703.591,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280162711301963,0.531533968361219,0.983401034306177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,0.0454845604209808,0.0980798449411929,0.198115387348872,45882.83681,44847.01661,NA,1035.8202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352605923573261,0.690311512846391,1.25231955055034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,0.0795730089955348,0.194813943333141,0.396705596578626,24148.923,24146.496,NA,2.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12834345670242,2.2552179581538,4.61759926507513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,0.106019250666266,0.233097474139536,0.466676360568391,27618.947,27618.947,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2585582436975,0.504458212586083,0.981167078014406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,0.0827288527954042,0.152448626481918,0.41179813996075,21377.70817,21377.70817,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166248147677143,0.315389702950058,0.63060416949543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,0.0736123902880263,0.187908692133652,0.427803072980607,18645.00252,18645.00252,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586747282919074,1.08504229214022,2.08292457258659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,0.138622778040008,0.326040297684704,0.701613421540182,13380.14188,13372.66518,NA,7.4767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771670852168641,1.5448323178891,2.87574511791623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,0.18683030132999,0.444528291888189,0.897856204297859,12001.87999,9997.98703,NA,2003.89296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.706838445688994,1.47022417101283,3.1321795951177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,0.223349761318802,0.521484863196225,0.96012103205943,15340.54496,13813.57366,NA,1526.9713,NA,NA,NA,NA,0.922173013599061,NA,NA,NA,NA,NA,1.50482119690464,3.04511904849163,6.31223751869231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,0.0587456190091892,0.13364195276537,0.298800935162273,14579.05898,13366.21035,NA,1212.84863,NA,NA,NA,NA,0.931736070329896,NA,NA,NA,NA,NA,0.442852560327921,0.938157207706292,1.90938596923859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,0.0475358568314212,0.113400509697579,0.225091489009888,14773.10535,14508.4678,NA,264.63755,NA,NA,NA,NA,0.927107525892581,NA,NA,NA,NA,NA,1.59791380359987,3.17680254653633,7.29119065644482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,0.0897437532325963,0.201145892563027,0.42934270248323,11802.78974,11617.66764,NA,185.1221,NA,NA,NA,NA,0.978595032594019,NA,NA,NA,NA,NA,0.380732015131178,0.811292709122033,1.61973772232733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,12587.12332,12386.26514,NA,200.85818,NA,NA,NA,NA,0.92738542475258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
