"month","Rectangle","weight"
"Jul","31F2",2.953
"Jul","31F3",0.334
"Jul","32D8",1254.672
"Jul","32D9",161.333
"Jul","32F2",2.268
"Jul","32F3",2.414
"Jul","33D8",2263.345
"Jul","33F2",0.132
"Jul","33F3",3.744
"Jul","33F4",2.223
"Jul","34D8",502.832
"Jul","34F2",2.218
"Jul","34F3",4.614
"Jul","34F4",10.183
"Jul","35F3",3.36
"Jul","35F4",0.381
"Jul","36D7",7.37
"Jul","36F3",0.226
"Jul","36F4",0.006
"Jul","36F5",0.62
"Jul","36F6",0.015
"Jul","36F7",0.045
"Jul","37D9",257.224
"Jul","37F7",0.18
"Jul","38D9",58.916
"Jul","38F7",0.22
"Jul","39E0",262.724
"Jul","39F7",1.177
"Jul","40E0",102.476
"Jun","31F2",5.802
"Jun","31F3",0.952
"Jun","32F2",1.495
"Jun","32F3",6.822
"Jun","33F2",1.016
"Jun","33F3",13.785
"Jun","33F4",0.002
"Jun","34F2",7.312
"Jun","34F3",29.231
"Jun","34F4",2.876
"Jun","35F2",1.24
"Jun","35F3",2.6
"Jun","35F4",11.141
"Jun","36F2",0.207
"Jun","36F3",1.627
"Jun","36F4",1.188
"Jun","36F5",0.199
"Jun","36F6",0.402
"Jun","36F7",0.719
"Jun","37F2",0.766
"Jun","37F6",0.284
"Jun","37F7",0.28
"Jun","38F7",0.18
"Jun","39F7",0.48
"Mar","21E6",0.252
"Mar","27D8",87.868
"Mar","27E2",31.668
"Mar","27E3",140.868
"Mar","27E4",0.08
"Mar","27E9",0.019
"Mar","28D9",5.733
"Mar","28E3",465.087
"Mar","28E4",118.923
"Mar","28E5",2.724
"Mar","28E6",1.228
"Mar","28E7",1.966
"Mar","28E8",0.001
"Mar","28E9",0.578
"Mar","28F0",0.134
"Mar","29D9",102.014
"Mar","29E6",0.538
"Mar","29E7",6.454
"Mar","29E9",1.503
"Mar","29F0",7.924
"Mar","29F1",0.013
"Mar","30D8",0.946
"Mar","30E9",0.28
"Mar","30F0",2.407
"Mar","30F1",0.414
"Mar","31D9",0.903
"Mar","31F1",0.078
"Mar","31F2",0.46
"Mar","32F2",0.88
"Mar","33D8",8.61
"Mar","34D4",0.013
"Mar","35D8",0.44
"Mar","36D8",211.634
"Mar","36D9",179.906
"Mar","37D8",145.907
"Mar","37D9",71.455
"Mar","38D9",1043.212
"Mar","38E0",36.79
"Mar","39D9",16.319
"Mar","39E0",320.661
"Mar","42E1",3.036
"Mar","46E2",244.992
"May","25E2",6.028
"May","27D8",22.814
"May","29E7",0.522
"May","29E9",1.694
"May","29F0",3.487
"May","29F1",0.764
"May","30D8",43.142
"May","30E9",0.036
"May","30F0",6.059
"May","30F1",0.02
"May","31F0",0.011
"May","31F1",5.33
"May","31F2",13.148
"May","31F3",0.402
"May","32F1",0.367
"May","32F2",7.333
"May","32F3",4.676
"May","33F3",2.959
"May","33F4",0.063
"May","34F2",0.518
"May","34F3",17.156
"May","34F4",3.301
"May","35D8",89.034
"May","35F4",0.705
"May","35F7",0.112
"May","36F2",0.02
"May","36F3",0.12
"May","36F4",0.028
"May","36F5",0.04
"May","36F6",0.097
"May","36F7",0.42
"May","38E0",0.022
"May","39F4",0.006
"May","42F7",0.008
"May","43F7",0.02
"May","44F4",0.143
"May","44F5",0.017
"May","44F6",0.029
"May","45F3",0.055
"May","46E2",0.065
"May","47E2",0.108
"May","47E3",0.704
"May","48E4",2.684
"May","49E6",0.567
"May","50E7",0.735
"Nov","25E0",0.008
"Nov","27E9",0.14
"Nov","28E9",49.9
"Nov","29E9",2.82
"Nov","29F0",7.263
"Nov","29F1",1.444
"Nov","30E4",909.848
"Nov","30F0",1.35
"Nov","30F1",6.304
"Nov","31E4",1016.285
"Nov","31F1",0.201
"Nov","31F2",0.655
"Nov","32E3",86.357
"Nov","32E4",158.885
"Nov","32F2",4.51
"Nov","33F3",0.02
"Nov","34F3",0.05
"Nov","36D9",0.24
"Nov","36F2",0.181
"Nov","37F0",0.017
"Nov","37F1",0.104
"Nov","37F2",0.12
"Nov","37F4",0.09
"Nov","38E0",246.081
"Nov","39E0",209.342
"Nov","39E1",199.264
"Nov","40E0",505.114
"Nov","40E1",557.997
"Nov","41E1",26.417
"Nov","45E1",0.839
"Nov","48E3",0.04
"Nov","50F0",1.186
"Oct","27E9",0.198
"Oct","28E7",0.803
"Oct","28E9",9.017
"Oct","28F0",0.04
"Oct","29E7",3.93
"Oct","29E9",950.499
"Oct","29F0",318.253
"Oct","29F1",0.67
"Oct","30E9",344.273
"Oct","30F0",0.792
"Oct","30F1",0.581
"Oct","31F2",1.336
"Oct","32F2",1.734
"Oct","33F2",0.02
"Oct","34F2",0.016
"Oct","34F3",0.254
"Oct","35F4",0.27
"Oct","36F2",0.161
"Oct","36F4",0.12
"Oct","37F0",0.028
"Oct","37F2",0.06
"Oct","37F3",0.08
"Oct","46E9",0.264
"Oct","48E9",0.011
"Oct","48F0",0.341
"Sep","28E7",1.525
"Sep","28E9",10.354
"Sep","28F0",0.099
"Sep","29E7",2.757
"Sep","29E9",0.946
"Sep","29F0",6.195
"Sep","30E9",0.44
"Sep","30F0",0.938
"Sep","30F1",0.364
"Sep","31F1",0.384
"Sep","31F2",0.295
"Sep","31F3",0.007
"Sep","32F2",3.943
"Sep","33F2",0.553
"Sep","33F3",0.26
"Sep","34F3",0.185
"Sep","36F5",0.006
"Sep","37F0",0.073
"Sep","37F2",0.14
"Sep","37F3",0.02
"Sep","38F3",0.03
"Sep","41F7",0.005
"Sep","43E9",0.037
"Sep","43F7",0.092
"Sep","44E9",0.132
"Sep","44F4",0.01
"Sep","45E3",3.465
"Sep","45E4",13.125
"Sep","45E9",0.356
"Sep","45F3",0.008
"Sep","46E4",278.523
"Sep","46E9",0.163
"Sep","46F3",0.02
"Sep","47E3",8.001
"Sep","47E9",2.07
"Sep","48E9",0.151
