length_class;country;area;quarter;value;year
29;France;27.7.d;Q1;2376.645771;2018
30;France;27.7.d;Q1;4753.291542;2018
34;France;27.7.d;Q1;2376.645771;2018
12;France;27.7.d;Q2;229.3783784;2018
13;France;27.7.d;Q2;1932.412913;2018
14;France;27.7.d;Q2;8626.187364;2018
15;France;27.7.d;Q2;6090.686729;2018
16;France;27.7.d;Q2;13859.61145;2018
17;France;27.7.d;Q2;24403.41277;2018
18;France;27.7.d;Q2;64936.46176;2018
19;France;27.7.d;Q2;57922.95405;2018
20;France;27.7.d;Q2;59750.4321;2018
21;France;27.7.d;Q2;41446.76023;2018
22;France;27.7.d;Q2;132823.1808;2018
23;France;27.7.d;Q2;136311.5794;2018
24;France;27.7.d;Q2;137785.6504;2018
25;France;27.7.d;Q2;79765.94428;2018
26;France;27.7.d;Q2;48699.35261;2018
27;France;27.7.d;Q2;21774.59928;2018
28;France;27.7.d;Q2;25870.87042;2018
29;France;27.7.d;Q2;10082.74114;2018
30;France;27.7.d;Q2;18141.9285;2018
31;France;27.7.d;Q2;11184.54913;2018
32;France;27.7.d;Q2;3498.38735;2018
33;France;27.7.d;Q2;4273.638197;2018
36;France;27.7.d;Q2;655.9017309;2018
37;France;27.7.d;Q2;246.354312;2018
6;France;27.7.d;Q3;650.4048583;2018
9;France;27.7.d;Q3;9023.263625;2018
10;France;27.7.d;Q3;10324.07334;2018
11;France;27.7.d;Q3;19816.40225;2018
12;France;27.7.d;Q3;10950.44431;2018
13;France;27.7.d;Q3;19464.02725;2018
14;France;27.7.d;Q3;13377.29828;2018
15;France;27.7.d;Q3;10792.84696;2018
16;France;27.7.d;Q3;19416.42868;2018
17;France;27.7.d;Q3;82032.11957;2018
18;France;27.7.d;Q3;75729.63491;2018
19;France;27.7.d;Q3;126211.4627;2018
20;France;27.7.d;Q3;82536.7183;2018
21;France;27.7.d;Q3;91964.21473;2018
22;France;27.7.d;Q3;130102.7664;2018
23;France;27.7.d;Q3;118524.5251;2018
24;France;27.7.d;Q3;139856.7986;2018
25;France;27.7.d;Q3;137286.3853;2018
26;France;27.7.d;Q3;129772.0982;2018
27;France;27.7.d;Q3;20395.77292;2018
28;France;27.7.d;Q3;34408.23673;2018
29;France;27.7.d;Q3;26079.76484;2018
30;France;27.7.d;Q3;6710.216942;2018
31;France;27.7.d;Q3;17632.45885;2018
32;France;27.7.d;Q3;3081.00479;2018
11;France;27.7.d;Q4;18342.68329;2018
12;France;27.7.d;Q4;26751.60316;2018
13;France;27.7.d;Q4;77830.07857;2018
14;France;27.7.d;Q4;65603.60343;2018
17;France;27.7.d;Q4;48401.27711;2018
18;France;27.7.d;Q4;126206.3736;2018
19;France;27.7.d;Q4;80939.01824;2018
20;France;27.7.d;Q4;47059.56308;2018
21;France;27.7.d;Q4;90048.18925;2018
22;France;27.7.d;Q4;137988.8652;2018
23;France;27.7.d;Q4;116380.5718;2018
24;France;27.7.d;Q4;140115.5347;2018
25;France;27.7.d;Q4;59332.03356;2018
26;France;27.7.d;Q4;20902.43571;2018
27;France;27.7.d;Q4;18738.55168;2018
30;France;27.7.d;Q4;1226.756757;2018
