Season;Fleet;CatchCategory;FishingArea;AgeLength;Length;NumberCaught
2;OTM_SPF_32-69_0_0_all;D;27.7.d;180;18;2549.580495
2;OTB_DEF_70-99_0_0;D;27.7.d;190;19;21441.91236
2;OTB_SPF_70-99_0_0_all;D;27.7.d;190;19;34437.22401
2;OTM_SPF_32-69_0_0_all;D;27.7.d;190;19;2043.817679
2;OTB_DEF_70-99_0_0;L;27.7.d;200;20;5708.972036
2;OTB_DEF_70-99_0_0;D;27.7.d;200;20;22764.75204
2;OTB_SPF_70-99_0_0_all;D;27.7.d;200;20;26626.821
2;OTM_SPF_32-69_0_0_all;D;27.7.d;200;20;4649.887019
2;OTB_DEF_70-99_0_0;L;27.7.d;210;21;1678.45795
2;OTB_DEF_70-99_0_0;D;27.7.d;210;21;23296.96505
2;OTB_SPF_70-99_0_0_all;D;27.7.d;210;21;13987.42152
2;OTM_SPF_32-69_0_0_all;D;27.7.d;210;21;2483.915706
2;OTB_DEF_70-99_0_0;L;27.7.d;220;22;29672.06715
2;OTB_DEF_70-99_0_0;D;27.7.d;220;22;77201.25544
2;OTB_SPF_70-99_0_0_all;D;27.7.d;220;22;19694.81771
2;OTM_SPF_32-69_0_0_all;D;27.7.d;220;22;6255.040531
2;OTB_DEF_70-99_0_0;L;27.7.d;230;23;52389.34954
2;OTB_DEF_70-99_0_0;D;27.7.d;230;23;40731.4906
2;OTB_SPF_70-99_0_0_all;D;27.7.d;230;23;39079.76941
2;OTM_SPF_32-69_0_0_all;D;27.7.d;230;23;4110.969805
2;OTB_DEF_70-99_0_0;L;27.7.d;240;24;83119.21989
2;OTB_DEF_70-99_0_0;D;27.7.d;240;24;26653.26386
2;OTB_SPF_70-99_0_0_all;D;27.7.d;240;24;26092.97305
2;OTM_SPF_32-69_0_0_all;D;27.7.d;240;24;1920.193623
2;OTB_DEF_70-99_0_0;L;27.7.d;250;25;55749.16268
2;OTB_DEF_70-99_0_0;D;27.7.d;250;25;7340.139642
2;OTB_SPF_70-99_0_0_all;D;27.7.d;250;25;15557.9377
2;OTM_SPF_32-69_0_0_all;D;27.7.d;250;25;1118.704255
2;OTB_DEF_70-99_0_0;L;27.7.d;260;26;33044.3928
2;OTB_DEF_70-99_0_0;D;27.7.d;260;26;4007.704975
2;OTB_SPF_70-99_0_0_all;D;27.7.d;260;26;11647.25483
2;OTB_DEF_70-99_0_0;L;27.7.d;270;27;12868.73138
2;OTB_DEF_70-99_0_0;D;27.7.d;270;27;5898.161602
2;OTB_SPF_70-99_0_0_all;D;27.7.d;270;27;3007.706302
2;OTB_DEF_70-99_0_0;L;27.7.d;280;28;18157.18649
2;OTB_DEF_70-99_0_0;D;27.7.d;280;28;3748.957593
2;OTB_SPF_70-99_0_0_all;D;27.7.d;280;28;3964.726337
2;OTB_DEF_70-99_0_0;L;27.7.d;290;29;7837.31575
2;OTB_DEF_70-99_0_0;D;27.7.d;290;29;1269.688321
2;OTB_SPF_70-99_0_0_all;D;27.7.d;290;29;975.7370654
2;OTB_DEF_70-99_0_0;L;27.7.d;300;30;11072.81827
2;OTB_DEF_70-99_0_0;D;27.7.d;300;30;749.5125914
2;OTB_SPF_70-99_0_0_all;D;27.7.d;300;30;6319.597642
2;OTB_DEF_70-99_0_0;L;27.7.d;310;31;7214.867084
2;OTB_DEF_70-99_0_0;D;27.7.d;310;31;2753.916197
2;OTB_SPF_70-99_0_0_all;D;27.7.d;310;31;1215.765844
2;OTB_DEF_70-99_0_0;L;27.7.d;320;32;2978.463026
2;OTB_DEF_70-99_0_0;D;27.7.d;320;32;519.9243243
2;OTB_DEF_70-99_0_0;L;27.7.d;330;33;3483.456535
2;OTB_DEF_70-99_0_0;D;27.7.d;330;33;214.0864865
2;OTB_SPF_70-99_0_0_all;D;27.7.d;330;33;576.0951751
2;OTB_SPF_70-99_0_0_all;D;27.7.d;360;36;655.9017309
2;OTB_DEF_70-99_0_0;L;27.7.d;370;37;246.354312
3;OTM_SPF_32-69_0_0_all;D;27.7.d;160;16;363.381727
3;SSC_DEF_70-99_0_0_all;D;27.7.d;160;16;8059.673283
3;OTB_DEF_70-99_0_0;D;27.7.d;170;17;64123.78259
3;OTM_SPF_32-69_0_0_all;D;27.7.d;170;17;15110.51766
3;SSC_DEF_70-99_0_0_all;D;27.7.d;170;17;2797.819315
3;OTB_DEF_70-99_0_0;D;27.7.d;180;18;70288.66613
3;OTM_SPF_32-69_0_0_all;D;27.7.d;180;18;5440.968775
3;OTB_DEF_70-99_0_0;D;27.7.d;190;19;116178.1706
3;OTM_SPF_32-69_0_0_all;D;27.7.d;190;19;10033.29213
3;OTB_DEF_70-99_0_0;D;27.7.d;200;20;56545.09237
3;OTM_SPF_32-69_0_0_all;D;27.7.d;200;20;25991.62593
3;OTM_SPF_32-69_0_0_all;L;27.7.d;210;21;15384.03417
3;OTB_DEF_70-99_0_0;D;27.7.d;210;21;65860.51128
3;OTM_SPF_32-69_0_0_all;D;27.7.d;210;21;10719.66928
3;OTM_SPF_32-69_0_0_all;L;27.7.d;220;22;28792.84002
3;OTB_DEF_70-99_0_0;D;27.7.d;220;22;97676.80197
3;OTM_SPF_32-69_0_0_all;D;27.7.d;220;22;3633.124446
3;OTM_SPF_32-69_0_0_all;L;27.7.d;230;23;28792.84002
3;OTB_DEF_70-99_0_0;D;27.7.d;230;23;84735.2322
3;OTM_SPF_32-69_0_0_all;D;27.7.d;230;23;4996.452914
3;OTM_SPF_32-69_0_0_all;L;27.7.d;240;24;87366.13422
3;OTB_DEF_70-99_0_0;D;27.7.d;240;24;52167.669
3;OTM_SPF_32-69_0_0_all;D;27.7.d;240;24;322.9954203
3;OTM_SPF_32-69_0_0_all;L;27.7.d;250;25;100774.9401
3;OTB_DEF_70-99_0_0;D;27.7.d;250;25;33448.07045
3;OTM_SPF_32-69_0_0_all;D;27.7.d;250;25;3063.374754
3;OTM_SPF_32-69_0_0_all;L;27.7.d;260;26;106973.8214
3;OTB_DEF_70-99_0_0;D;27.7.d;260;26;21990.49669
3;OTM_SPF_32-69_0_0_all;D;27.7.d;260;26;807.7801414
3;OTM_SPF_32-69_0_0_all;L;27.7.d;270;27;19789.81807
3;OTM_SPF_32-69_0_0_all;D;27.7.d;270;27;605.954848
3;OTM_SPF_32-69_0_0_all;L;27.7.d;280;28;34004.10718
3;OTM_SPF_32-69_0_0_all;D;27.7.d;280;28;404.1295547
3;OTM_SPF_32-69_0_0_all;L;27.7.d;290;29;26079.76484
3;OTM_SPF_32-69_0_0_all;L;27.7.d;300;30;6710.216942
3;OTM_SPF_32-69_0_0_all;L;27.7.d;310;31;17632.45885
3;OTM_SPF_32-69_0_0_all;L;27.7.d;320;32;2157.359225
3;OTB_DEF_70-99_0_0;D;27.7.d;320;32;923.645565
4;OTB_DEF_70-99_0_0;D;27.7.d;110;11;18342.68329
4;OTB_DEF_70-99_0_0;D;27.7.d;120;12;26751.60316
4;OTB_DEF_70-99_0_0;D;27.7.d;130;13;77830.07857
4;OTB_DEF_70-99_0_0;D;27.7.d;140;14;65603.60343
4;OTB_DEF_70-99_0_0;D;27.7.d;170;17;48401.27711
4;OTB_DEF_70-99_0_0;D;27.7.d;180;18;126206.3736
4;OTB_DEF_70-99_0_0;D;27.7.d;190;19;80939.01824
4;OTB_DEF_70-99_0_0;D;27.7.d;200;20;47059.56308
4;OTB_DEF_70-99_0_0;D;27.7.d;210;21;90048.18925
4;OTB_DEF_70-99_0_0;D;27.7.d;220;22;137988.8652
4;OTB_DEF_70-99_0_0;D;27.7.d;230;23;116380.5718
4;OTB_DEF_70-99_0_0;D;27.7.d;240;24;140115.5347
4;OTB_DEF_70-99_0_0;D;27.7.d;250;25;59332.03356
4;OTB_DEF_70-99_0_0;D;27.7.d;260;26;20902.43571
4;OTB_DEF_70-99_0_0;D;27.7.d;270;27;18738.55168
4;OTB_DEF_70-99_0_0;D;27.7.d;300;30;1226.756757
