SD,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,L,A,N,age,8,-9,-9,-9,-9,3,73,kg,n,year,NA,NA,86557.92959,0.260547558,-9,-9,-9,-9
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,L,A,N,age,9,-9,-9,-9,-9,3,73,kg,n,year,NA,NA,46727.93114,0.236,-9,-9,-9,-9
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,L,A,N,age,11,-9,-9,-9,-9,3,73,kg,n,year,NA,NA,39829.99845,0.322,-9,-9,-9,-9
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,L,A,N,age,12,-9,-9,-9,-9,3,73,kg,n,year,NA,NA,354880.8188,0.281116308,-9,-9,-9,-9
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,L,A,N,age,13,-9,-9,-9,-9,3,73,kg,n,year,NA,NA,46727.93114,0.262,-9,-9,-9,-9
HI,UKE,2020,Quarter,1,HM-ALL,Div,27.7.b,NA,NA,-9,NA,,,,,,,,,,,,,,,,,,,,,
SI,UKE,2020,Quarter,1,HM-ALL,Div,27.7.b,NA,HOM,NA,L,A,NA,H,NA,NA,t,450.932,-9,-9,NA,J.E.BALL,ENG_2020_HM-ALL_HOM,,,,,,,,,
SI,UKE,2020,Quarter,1,HM-ALL,Div,27.7.b,NA,HOM,NA,B,A,NA,H,NA,NA,t,0,-9,-9,NA,J.E.BALL,ENG_2020_HM-ALL_HOM,,,,,,,,,
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.7.b,NA,HOM,NA,L,A,N,age,4,-9,-9,-9,-9,1,25,kg,n,year,NA,NA,167254.0587,0.2155,-9,-9,-9,-9
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.7.b,NA,HOM,NA,L,A,N,age,5,-9,-9,-9,-9,1,25,kg,n,year,NA,NA,334508.1174,0.18975,-9,-9,-9,-9
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.7.b,NA,HOM,NA,L,A,N,age,6,-9,-9,-9,-9,1,25,kg,n,year,NA,NA,919897.3229,0.200545455,-9,-9,-9,-9
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.7.b,NA,HOM,NA,L,A,N,age,7,-9,-9,-9,-9,1,25,kg,n,year,NA,NA,83627.02936,0.246,-9,-9,-9,-9
