Stock;Country;Year;CatchCategory;ReportingCategory;CATONRaisedOrImported;MisreportedArea;Area;Season;SeasonType;Fleet;CATON;Effort;UnitEffort;OfficialLandings;SampledOrEstimated;SampledCatch;No. of Length Samples;No. of Length Measured;No. of Age Samples;No. Age Readings
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.7.d;1;Quarter;OTB_SPF_70-99_0_0_all;8991.91;93852;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Logbook Registered Discard;Reported;Imported_Data; ;27.7.d;1;Quarter;OTB_SPF_70-99_0_0_all;0;93852;kWd;200;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.7.d;1;Quarter;OTM_DEF;0.52;4276;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Logbook Registered Discard;Reported;Imported_Data; ;27.7.d;1;Quarter;OTM_DEF;0;4276;kWd;438;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.7.d;1;Quarter;OTM_SPF_32-69_0_0_all;1998.48;38185;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.7.d;1;Quarter;OTM_SPF_70-99_0_0_all;485.45;26025;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.7.d;1;Quarter;SSC_DEF_70-99_0_0_all;7806.99;90826;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Netherlands;2020;Discards;Reported;Imported_Data; ;27.4.a.nshm;1;Quarter;OTM_SPF_32-69_0_0_all;0;188524;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Netherlands;2020;Landings;Reported;Imported_Data; ;27.4.a.nshm;1;Quarter;OTM_SPF_32-69_0_0_all;350;188524;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Netherlands;2020;Landings;Reported;Imported_Data; ;27.4.c;1;Quarter;OTB_DEF_70-99_0_0_all;100;19125;kWd;;Estimated_Distribution;0;0;0;0;0
