age;year;27.3.a;27.4.a;27.4.b;27.4.c;27.7.d
1;2009;46500;0;0;13262000;19722200
2;2009;27100;2000;6900;7606200;5834500
3;2009;66600;23500;82200;17394300;9970600
4;2009;31400;16600;58300;7823400;13435800
5;2009;19000;42000;226400;2515400;13901300
6;2009;28700;97800;1657100;1441600;12545400
7;2009;18600;63500;909300;938700;18914100
8;2009;13200;45000;14600400;667000;30322800
9;2009;8600;29300;906800;433400;9505000
10;2009;6600;22500;3112400;332000;5519400
11;2009;900;2900;3696300;43700;3273300
12;2009;900;2900;2849500;43300;643700
13;2009;900;2900;33800;43200;205400
14;2009;300;1000;352600;14500;506800
15;2009;2600;8800;4316900;129800;1492900
0;2010;0;0;0;0;0
1;2010;0;0;0;0;3051170
2;2010;10;6590;56360;72690;20620420
3;2010;180;86100;736300;949590;8066370
4;2010;130;62080;530880;684670;13196790
5;2010;130;62140;531390;685320;20547990
6;2010;110;52750;451120;581800;13599880
7;2010;220;102970;880620;1135720;23345520
8;2010;140;66310;567110;731390;3819850
9;2010;130;63580;543730;701240;4531040
10;2010;60;28400;242880;313230;7062890
11;2010;60;26980;230740;297580;2099350
12;2010;10;3900;33370;43030;199060
13;2010;0;2340;19970;25760;267270
14;2010;0;1560;13310;17170;178110
15;2010;20;7690;65740;84790;879750
0;2011;0;0;0;0;0
1;2011;0;0;0;560;8141670
2;2011;0;0;0;1230;23297460
3;2011;790;0;904680;8470500;67137660
4;2011;460;0;590290;4941660;31735880
5;2011;90;0;688070;1057440;12829560
6;2011;90;0;371840;1057480;8504900
7;2011;30;0;311950;439790;4996540
8;2011;0;0;481110;144240;5400650
9;2011;10;0;2260310;261320;841730
10;2011;40;0;7850910;1516580;764610
11;2011;20;0;5562960;759570;573330
12;2011;0;0;2717010;53370;841650
13;2011;10;0;465210;301150;80
14;2011;0;0;334410;0;0
15;2011;0;0;486180;39950;0
0;2012;0;0;0;0;0
1;2012;0;0;0;0;9491300
2;2012;70;169320;58960;290900;23787440
3;2012;160;354160;123330;608460;19329980
4;2012;300;679460;263170;1793080;37507890
5;2012;210;478230;210800;1864550;23210250
6;2012;200;461840;222800;2253580;17881260
7;2012;80;170340;85880;918410;1957190
8;2012;50;113560;57250;612270;4207590
9;2012;50;113560;57250;612270;3852770
10;2012;80;170340;85880;918410;355480
11;2012;10;20270;7060;34820;424770
12;2012;0;0;0;0;110350
13;2012;0;0;0;0;0
14;2012;0;0;0;0;167500
15;2012;0;0;0;0;0
0;2013;0.1;96.7;4612.9;950.8;161661.1
1;2013;2.3;2825;189288.6;105683.2;7274007.4
2;2013;0.8;494.6;188447.9;461165.9;9310596.7
3;2013;4.7;479.2;522399.1;1032618.4;19771941.2
4;2013;6.5;569.6;632835.6;700052;20834057.9
5;2013;12.1;1852.6;915105.2;781436.2;25435186.3
6;2013;3.1;1081.2;204055.7;223282.8;5605218.1
7;2013;4.7;515.8;290756.9;296790.8;6600562.4
8;2013;1.9;59.6;147563.6;135340.6;3973499.9
9;2013;3;277.7;174105.6;188109.9;3645939.8
10;2013;4.4;692.4;243073.8;262740.3;4874289.7
11;2013;2.9;460.3;162839.1;173239.7;3355467.9
12;2013;0.8;394.4;41219.2;34567.6;948897
13;2013;0.4;13.8;25562.5;29077.4;508036.1
14;2013;0;1.1;2003.1;2278.5;39810.3
15;2013;0.1;2.3;4396.3;4834.3;92705.9
0;2014;0;0;0;0;0
1;2014;0;0;8100;2211200;13220140
2;2014;190;170;43180;1933720;13282410
3;2014;1520;1350;287170;826000;7607760
4;2014;2100;2060;415300;4634710;25173800
5;2014;1740;2170;330100;3567150;9898800
6;2014;2200;2790;405020;2571890;4091540
7;2014;480;830;88440;376840;2262930
8;2014;960;1280;168390;801780;2416230
9;2014;190;170;37380;266920;635200
10;2014;580;710;114420;266810;638250
11;2014;380;540;77750;180090;1070000
12;2014;0;200;5700;9800;393520
13;2014;100;300;11300;19600;0
14;2014;0;0;0;0;153820
15;2014;0;0;0;0;74430
1;2015;14930;2665590;223810;3012280;43758730
2;2015;7170;1279720;107450;1446150;21008090
3;2015;3040;543300;45620;613970;8918980
4;2015;1730;308750;25930;348910;5068620
5;2015;2160;385580;32370;435730;6329770
6;2015;1160;206520;17350;233380;3390290
7;2015;1000;178980;15040;202260;2938200
8;2015;420;75330;6330;85130;1236640
9;2015;480;85690;7190;96840;1406820
10;2015;270;47440;3990;53620;778830
11;2015;50;9680;810;10920;158750
12;2015;270;48140;4040;54410;790260
13;2015;50;9680;810;10920;158750
14;2015;50;9680;810;10920;158750
1;2016;0;0;137360.47;22103.18;3456074.13
2;2016;0;0;686802.31;2196462.89;62351078.01
3;2016;56.48;22587.65;34340.75;550575.64;15298360.77
4;2016;0;0;0;806077.44;9037142.11
5;2016;0;0;43363.02;733710.83;6913149.58
6;2016;0;0;43363.02;552027.56;5100036.81
7;2016;0;0;86726;377321.97;1996313.65
8;2016;395.34;158113.59;130093.48;747666.22;4063560.82
9;2016;677.73;271051.88;7.65;181683.28;792999.16
10;2016;225.92;90350.63;2.55;0;0
11;2016;338.86;135525.95;3.83;0;0
12;2016;960.11;383990.15;10.85;0;0
13;2016;1073.07;429165.46;14466.47;184009.17;792999.16
14;2016;1073.07;429165.46;43375.15;6977.71;0
15;2016;5421.81;2168414.97;61.24;181683.28;792999.16
1;2017;17637;68732;190548;2408096;18059231
2;2017;16086;62686;173785;4912698;15735953
3;2017;48660;189626;525703;12998349;48851823
4;2017;7134;27801;77073;1827553;8247615
5;2017;4407;17175;47616;383736;5578523
6;2017;2733;10650;29526;82758;3286719
7;2017;1983;7727;21422;60044;2731187
8;2017;1768;6890;19102;53542;2363509
9;2017;695;2707;7504;21034;907442
10;2017;195;760;2106;5904;285405
11;2017;404;1576;4369;12247;520091
12;2017;0;0;0;0;0
13;2017;0;0;0;0;0
14;2017;195;760;2106;5904;285405
15;2017;195;760;2106;5904;285405
1;2018;852;2702884.2;400097.5;2234729.3;22083943.1
2;2018;1526.2;4841624.7;716687;4003027.7;39558543.8
3;2018;409.7;1299779.7;192401.4;1074650.5;10619863.4
4;2018;1017.3;3227164.4;477704.7;2668201.1;26367579.3
5;2018;140.9;446933.9;66157.9;369522.4;3651677.9
6;2018;21.4;67916.6;10053.4;56153;554913.1
7;2018;22.1;70038.1;10367.5;57907.1;572247.3
8;2018;0;0;0;0;0
9;2018;0;0;0;0;0
10;2018;0;0;0;0;0
11;2018;0;0;0;0;0
12;2018;0;0;0;0;0
13;2018;0;0;0;0;0
14;2018;0;0;0;0;0
15;2018;0;0;0;0;0
1;2019;0;0;0;0;0
2;2019;29.9;30.2;6024.9;55332.1;928330.5
3;2019;175.9;177.2;17246.9;325354.3;5459237.8
4;2019;91.6;92.9;98709.5;169555.7;2841918.2
5;2019;368.5;3813.2;48976.4;680206.8;11399472.3
6;2019;83.2;76827.5;28043.6;121735.8;1723703.4
7;2019;107.6;165979.2;5261.6;129200.8;1481012.4
8;2019;52.9;45816.8;1914.7;78610.8;1130456.3
9;2019;208.5;208364;24695.6;298104.6;4140495
10;2019;316;720098.5;19826.9;281544.7;1745016.8
11;2019;273.3;516015.9;15140.7;288583.8;2704838.4
12;2019;143.1;374565.5;9889.4;107153.9;245584.7
13;2019;131.5;344432.4;9093.9;98545.7;225821.7
14;2019;67.4;176597.1;4662.6;50523.5;115784.5
15;2019;1327.2;3391210.7;90173.2;1029304.1;3217820.6
0;2020;4.5;18352.3;441.6;3817.8;81783.7
1;2020;203.6;835799.2;20111.7;336166.6;3562285.4
2;2020;2526.2;10370357.9;249539.9;4975218.5;43395662.2
3;2020;1052.3;4319738.4;103945;2100161.1;18048569.9
4;2020;900.1;3695029.9;88912.8;1857328.5;15377549.3
5;2020;95.8;393374.7;9465.7;218620.5;1616213.2
6;2020;171.2;702664.7;16908.1;370503;2906964.5
7;2020;17.8;73093;1758.8;47880.6;293050
8;2020;4;16388.7;394.4;3409.3;73033.1
9;2020;12.1;49616.6;1193.9;10321.7;221107
10;2020;14.9;61290;1474.8;12750.1;273127.2
11;2020;11.6;47504.7;1143.1;9882.3;211695.5
12;2020;5.5;22611.9;544.1;4703.9;100765.6
13;2020;1.3;5462.9;131.5;1136.4;24344.4
14;2020;1.3;5462.9;131.5;1136.4;24344.4
15;2020;2.8;11686.1;281.2;2431;52076.9
